CBF,Time,Type,Game
172576,11:00 - 2T,NR,224
306156,20:00 - 1T,NR,225
502230,32:00 - 1T,NR,226
514258,22:00 - 2T,NR,226
500532,+4 - 2T,NR,226
185586,06:00 - 2T,NR,227
377856,24:00 - 2T,NR,227
439695,33:00 - 2T,NR,227
370113,11:00 - 2T,NR,229
406706,39:00 - 2T,NR,229
150549,33:00 - 2T,FT,230
516214,05:00 - 1T,NR,231
318095,25:00 - 1T,PN,231
646420,09:00 - 2T,NR,231
340115,02:00 - 1T,NR,233
315979,12:00 - 2T,NR,233
178294,40:00 - 2T,NR,233
305393,13:00 - 1T,NR,234
444890,29:00 - 1T,NR,234
179974,18:00 - 2T,NR,236
350018,01:00 - 2T,NR,237
311122,11:00 - 2T,NR,239
427774,36:00 - 1T,NR,240
298995,26:00 - 2T,PN,240
427774,+5 - 2T,NR,240
150549,14:00 - 1T,PN,241
182423,03:00 - 2T,NR,241
366405,15:00 - 2T,NR,241
432298,02:00 - 2T,NR,242
542491,13:00 - 2T,NR,242
542491,27:00 - 2T,NR,242
369639,07:00 - 1T,PN,244
326569,16:00 - 2T,NR,244
179773,20:00 - 2T,NR,245
168072,40:00 - 2T,NR,245
384617,20:00 - 1T,FT,246
367343,24:00 - 2T,PN,246
387314,25:00 - 2T,CT,246
343672,41:00 - 2T,NR,246
367343,+1 - 2T,NR,246
424585,18:00 - 1T,NR,248
185126,23:00 - 2T,NR,248
370113,43:00 - 1T,NR,249
434038,38:00 - 2T,NR,249
502079,15:00 - 2T,NR,250
292833,11:00 - 1T,NR,251
377856,13:00 - 1T,CT,251
420539,27:00 - 1T,NR,251
150549,+2 - 1T,PN,251
150549,28:00 - 2T,NR,251
410100,02:00 - 2T,NR,252
441948,+2 - 2T,NR,252
438212,08:00 - 1T,NR,253
404399,10:00 - 1T,NR,254
374851,43:00 - 1T,NR,254
161437,17:00 - 2T,NR,254
300229,+1 - 2T,NR,255
312847,11:00 - 2T,NR,256
350899,42:00 - 2T,NR,256
367343,07:00 - 1T,NR,258
367343,18:00 - 1T,NR,258
370113,39:00 - 1T,PN,258
368089,32:00 - 2T,NR,258
318095,33:00 - 2T,NR,258
162905,28:00 - 2T,NR,260
162905,+3 - 2T,NR,260
169747,05:00 - 1T,PN,261
369639,26:00 - 1T,NR,261
175557,06:00 - 2T,NR,261
360467,11:00 - 1T,FT,262
188110,36:00 - 2T,NR,262
300229,08:00 - 1T,NR,264
