Competição,Ano,Jogo
Copa do Brasil,2020,408
Serie A,2020,409
Serie B,2020,409
Serie C,2020,409
Copa do Brasil,2020,409
Serie A,2020,410
Serie B,2020,410
Serie C,2020,410
Copa do Brasil,2020,410
Serie A,2020,411
Serie B,2020,411
Serie C,2020,411
Copa do Brasil,2020,411
Serie A,2020,412
Serie B,2020,412
Serie C,2020,412
Copa do Brasil,2020,412
Serie A,2020,413
Serie B,2020,413
Serie C,2020,413
Copa do Brasil,2020,413
Serie A,2020,414
Serie B,2020,414
Serie C,2020,414
Copa do Brasil,2020,414
Serie A,2020,415
Serie B,2020,415
Serie C,2020,415
Copa do Brasil,2020,415
Serie A,2020,416
Serie B,2020,416
Serie C,2020,416
Copa do Brasil,2020,416
Serie A,2020,417
Serie B,2020,417
Serie C,2020,417
Copa do Brasil,2020,417
Serie A,2020,418
Serie B,2020,418
Serie C,2020,418
Copa do Brasil,2020,418
Serie A,2020,419
Serie B,2020,419
Serie C,2020,419
Copa do Brasil,2020,419
Serie A,2020,420
Serie B,2020,420
Serie C,2020,420
Copa do Brasil,2020,420
Serie A,2020,421
Serie B,2020,421
Serie C,2020,421
Copa do Brasil,2020,421
Serie A,2020,422
Serie B,2020,422
Serie C,2020,422
Copa do Brasil,2020,422
Serie A,2020,423
Serie B,2020,423
Serie C,2020,423
Copa do Brasil,2020,423
Serie A,2020,424
Serie B,2020,424
Serie C,2020,424
Copa do Brasil,2020,424
Serie A,2020,425
Serie B,2020,425
Serie C,2020,425
Copa do Brasil,2020,425
Serie A,2020,426
Serie B,2020,426
Serie C,2020,426
Copa do Brasil,2020,426
Serie A,2020,427
Serie B,2020,427
Serie C,2020,427
Copa do Brasil,2020,427
Serie A,2020,428
Serie B,2020,428
Serie C,2020,428
Copa do Brasil,2020,428
Serie A,2020,429
Serie B,2020,429
Serie C,2020,429
Copa do Brasil,2020,429
Serie A,2020,430
Serie B,2020,430
Serie C,2020,430
Copa do Brasil,2020,430
Serie A,2020,431
Serie B,2020,431
Serie C,2020,431
Copa do Brasil,2020,431
Serie A,2020,432
Serie B,2020,432
Serie C,2020,432
Copa do Brasil,2020,432
Serie A,2020,433
Serie B,2020,433
Serie C,2020,433
Copa do Brasil,2020,433
Serie A,2020,434
Serie B,2020,434
Serie C,2020,434
Copa do Brasil,2020,434
Serie A,2020,435
Serie B,2020,435
Serie C,2020,435
Copa do Brasil,2020,435
Serie A,2020,436
Serie B,2020,436
Serie C,2020,436
Copa do Brasil,2020,436
Serie A,2020,437
Serie B,2020,437
Serie C,2020,437
Copa do Brasil,2020,437
Serie A,2020,438
Serie B,2020,438
Serie C,2020,438
Copa do Brasil,2020,438
Serie A,2020,439
Serie B,2020,439
Serie C,2020,439
Copa do Brasil,2020,439
Serie A,2020,440
Serie B,2020,440
Serie C,2020,440
Copa do Brasil,2020,440
Serie A,2020,441
Serie B,2020,441
Serie C,2020,441
Copa do Brasil,2020,441
Serie A,2020,442
Serie B,2020,442
Serie C,2020,442
Copa do Brasil,2020,442
Serie A,2020,443
Serie B,2020,443
Serie C,2020,443
Copa do Brasil,2020,443
Serie A,2020,444
Serie B,2020,444
Serie C,2020,444
Copa do Brasil,2020,444
Serie A,2020,445
Serie B,2020,445
Serie C,2020,445
Copa do Brasil,2020,445
Serie A,2020,446
Serie B,2020,446
Serie C,2020,446
Copa do Brasil,2020,446
Serie A,2020,447
Serie B,2020,447
Serie C,2020,447
Copa do Brasil,2020,447
Serie A,2020,448
Serie B,2020,448
Serie C,2020,448
Copa do Brasil,2020,448
Serie A,2020,449
Serie B,2020,449
Serie C,2020,449
Copa do Brasil,2020,449
Serie A,2020,450
Serie B,2020,450
Serie C,2020,450
Copa do Brasil,2020,450
Serie A,2020,451
Serie B,2020,451
Serie C,2020,451
Copa do Brasil,2020,451
Serie A,2020,452
Serie B,2020,452
Serie C,2020,452
Copa do Brasil,2020,452
Serie A,2020,453
Serie B,2020,453
Serie C,2020,453
Copa do Brasil,2020,453
Serie A,2020,454
Serie B,2020,454
Serie C,2020,454
Copa do Brasil,2020,454
Serie A,2020,455
Serie B,2020,455
Serie C,2020,455
Copa do Brasil,2020,455
Serie A,2020,456
Serie B,2020,456
Serie C,2020,456
Copa do Brasil,2020,456
Serie A,2020,457
Serie B,2020,457
Serie C,2020,457
Copa do Brasil,2020,457
Serie A,2020,458
Serie B,2020,458
Serie C,2020,458
Copa do Brasil,2020,458
Serie A,2020,459
Serie B,2020,459
Serie C,2020,459
Copa do Brasil,2020,459
Serie A,2020,460
Serie B,2020,460
Serie C,2020,460
Copa do Brasil,2020,460
Serie A,2020,461
Serie B,2020,461
Serie C,2020,461
Copa do Brasil,2020,461
Serie A,2020,462
Serie B,2020,462
Serie C,2020,462
Copa do Brasil,2020,462
Serie A,2020,463
Serie B,2020,463
Serie C,2020,463
Copa do Brasil,2020,463
Serie A,2020,464
Serie B,2020,464
Serie C,2020,464
Copa do Brasil,2020,464
Serie A,2020,465
Serie B,2020,465
Serie C,2020,465
Copa do Brasil,2020,465
Serie A,2020,466
Serie B,2020,466
Serie C,2020,466
Copa do Brasil,2020,466
Serie A,2020,467
Serie B,2020,467
Serie C,2020,467
Copa do Brasil,2020,467
Serie A,2020,468
Serie B,2020,468
Serie C,2020,468
Copa do Brasil,2020,468
Serie A,2020,469
Serie B,2020,469
Serie C,2020,469
Copa do Brasil,2020,469
Serie A,2020,470
Serie B,2020,470
Serie C,2020,470
Copa do Brasil,2020,470
Serie A,2020,471
Serie B,2020,471
Serie C,2020,471
Copa do Brasil,2020,471
Serie A,2020,472
Serie B,2020,472
Serie C,2020,472
Copa do Brasil,2020,472
Serie A,2020,473
Serie B,2020,473
Serie C,2020,473
Copa do Brasil,2020,473
Serie A,2020,474
Serie B,2020,474
Serie C,2020,474
Copa do Brasil,2020,474
Serie A,2020,475
Serie B,2020,475
Serie C,2020,475
Copa do Brasil,2020,475
Serie A,2020,476
Serie B,2020,476
Serie C,2020,476
Copa do Brasil,2020,476
Serie A,2020,477
Serie B,2020,477
Serie C,2020,477
Copa do Brasil,2020,477
Serie A,2020,478
Serie B,2020,478
Serie C,2020,478
Copa do Brasil,2020,478
Serie A,2020,479
Serie B,2020,479
Serie C,2020,479
Copa do Brasil,2020,479
Serie A,2020,480
Serie B,2020,480
Serie C,2020,480
Copa do Brasil,2020,480
Serie A,2020,481
Serie B,2020,481
Serie C,2020,481
Copa do Brasil,2020,481
Serie A,2020,482
Serie B,2020,482
Serie C,2020,482
Copa do Brasil,2020,482
Serie A,2020,483
Serie B,2020,483
Serie C,2020,483
Copa do Brasil,2020,483
Serie A,2020,484
Serie B,2020,484
Serie C,2020,484
Copa do Brasil,2020,484
Serie A,2020,485
Serie B,2020,485
Serie C,2020,485
Copa do Brasil,2020,485
Serie A,2020,486
Serie B,2020,486
Serie C,2020,486
Copa do Brasil,2020,486
Serie A,2020,487
Serie B,2020,487
Serie C,2020,487
Copa do Brasil,2020,487
Serie A,2020,488
Serie B,2020,488
Serie C,2020,488
Copa do Brasil,2020,488
Serie A,2020,489
Serie B,2020,489
Serie C,2020,489
Copa do Brasil,2020,489
Serie A,2020,490
Serie B,2020,490
Serie C,2020,490
Copa do Brasil,2020,490
Serie A,2020,491
Serie B,2020,491
Serie C,2020,491
Copa do Brasil,2020,491
Serie A,2020,492
Serie B,2020,492
Serie C,2020,492
Copa do Brasil,2020,492
Serie A,2020,493
Serie B,2020,493
Serie C,2020,493
Copa do Brasil,2020,493
Serie A,2020,494
Serie B,2020,494
Serie C,2020,494
Copa do Brasil,2020,494
Serie A,2020,495
Serie B,2020,495
Serie C,2020,495
Copa do Brasil,2020,495
Serie A,2020,496
Serie B,2020,496
Serie C,2020,496
Copa do Brasil,2020,496
Serie A,2020,497
Serie B,2020,497
