CBF,Apelido,Nome
135687,Luis Fabiano,Luis Fabiano Clemente
291708,Luccas Claro,Luccas Claro dos Santos
291380,Paulo Mira ...,Jonathan Doin
307037,Escudero,Sergio Daniel Escudero
169890,Chico,Luis Francisco Grando
294769,Vinicius,Vinicius Goes Barbos ...
170114,Uelliton,Uelliton da Silva Vieira
131823,Cleiton,Cleiton Sulzbacher d ...
184801,Toloi,Rafael Toloi
139091,Julio Cesar,Julio Cesar da Silva ...
445113,Clemente R ...,Clemente Juan Rodriguez
190231,Vanailson,Vanailson Luciano de ...
149233,Jadson,Jadson Rodrigues da ...
159343,Bil,Rosimar Amancio
371066,Bottinelli,Dario Bottinelli
165831,Denilson,Denilson Pereira Neves
296302,Emerson,Emerson Gustavo Pint ...
161518,Anderson A ...,Anderson Angus Aquino
339876,Diogo,Diogo Barbosa Mendanha
300072,Luiz,Luiz Guilherme Dornelles
307277,Guilherme,Guilherme Ferreira Pinto
327121,Geraldo,Hermenegildo da Cost ...
351540,Mateus,Mateus Lucena dos Santo
130166,Lincoln,Lincoln Cassio de So ...
157264,Marcelo Lomba,Marcelo Lomba do Nas ...
321829,Madson,Madson Ferreira dos ...
170255,Christian,Christian Chagas Tarouco
309265,Lucas Fonseca,Lucas Silva Fonseca
190389,Marquinhos ...,Marcos Gabriel do Na ...
352645,Feijao,Antonio Filipe Gonza...
173948,Raul,Raul Diogo Souza Rocha
172714,Diones,Diones Coelho da Costa
188453,Fernandao,Jose Fernando Viana ...
162897,Helder,Helder de Paula Santos
172110,Elias,Elias Constantino Pe ...
307680,Wiliam Bar ...,Wiliam Silva Gomes B ...
293325,Dankler,Dankler Luis de Jesu ...
363566,Jussandro,Jussandro Pimenta Matos
153030,Leandro,Leandro Fahel Matos
292443,Omar,Omar Constante Reis ...
446260,Ângulo,Juan Camilo Ângulo V...
190431,Rafael Don ...,Rafael Ferreira Donato
307018,Hyuri,Hyuri Henrique de Ol ...
155743,Obina,Manuel de Brito Filho
171815,Demerson,Demerson Bruno Costa
174194,Wallyson,Wallyson Ricardo Mac...
310594,Andre,Andre Luiz Leocadio  ...
307602,Octavio,Octavio Merlo Manteca
170272,Victor Fer ...,Victor Ferraz Macedo
171547,Gil,Jose Gildeixon Cleme...
144802,Anderson,Anderson Grasiane de ...
184904,Janio,Janio Daniel do Nasc...
307753,Rafael,Rafael Gimenes da Silva
317763,Elivelton,Elivelton Viana dos  ...
291295,Marcos Paulo,Marcos Paulo Ramos d...
308149,Diego,Diego Santos Gama Camil
329581,Abner Felipe,Abner Felipe Souza d ...
188494,Luiz Eduardo,Luiz Eduardo Figueiredo
331239,Maykinho,Maicon Joao Veiga da ...
307616,Igor Julião,Igor de Carvalho Juliao
312847,Rafael Bon ...,Rafael de Jesus Bonfim
307574,Ronan,Ronan Queiroz de Pau ...
350148,Eduardo,Eduardo Antonio Mach ...
334881,Willian,Willian Osmar de Oli ...
169938,Bruno Silva,Bruno Cesar Pereira Silva
303766,Maranhão,Francinilson Santos  ...
