Competição,Ano,Jogo
Copa do Brasil,2013,348
Serie C,2013,349
Serie D,2013,349
Copa do Brasil,2013,349
Serie C,2013,350
Serie D,2013,350
Copa do Brasil,2013,350
Serie C,2013,351
Serie D,2013,351
Copa do Brasil,2013,351
Serie C,2013,352
Serie D,2013,352
Copa do Brasil,2013,352
Serie C,2013,353
Serie D,2013,353
Copa do Brasil,2013,353
Serie C,2013,354
Serie D,2013,354
Copa do Brasil,2013,354
Serie C,2013,355
Serie D,2013,355
Copa do Brasil,2013,355
Serie C,2013,356
Serie D,2013,356
Copa do Brasil,2013,356
Serie C,2013,357
Serie D,2013,357
Copa do Brasil,2013,357
Serie C,2013,358
Serie D,2013,358
Copa do Brasil,2013,358
Serie C,2013,359
Serie D,2013,359
Copa do Brasil,2013,359
Serie C,2013,360
Serie D,2013,360
Copa do Brasil,2013,360
Serie C,2013,361
Serie D,2013,361
Copa do Brasil,2013,361
Serie C,2013,362
Serie D,2013,362
Copa do Brasil,2013,362
Serie C,2013,363
Serie D,2013,363
Copa do Brasil,2013,363
Serie C,2013,364
Serie D,2013,364
Copa do Brasil,2013,364
Serie C,2013,365
Serie D,2013,365
Copa do Brasil,2013,365
Serie C,2013,366
Serie D,2013,366
Copa do Brasil,2013,366
Serie C,2013,367
Serie D,2013,367
Copa do Brasil,2013,367
Serie C,2013,368
Serie D,2013,368
Copa do Brasil,2013,368
Serie C,2013,369
Serie D,2013,369
Copa do Brasil,2013,369
Serie C,2013,370
Serie D,2013,370
Copa do Brasil,2013,370
Serie C,2013,371
Serie D,2013,371
Copa do Brasil,2013,371
Serie C,2013,372
Serie D,2013,372
Copa do Brasil,2013,372
Serie C,2013,373
Serie D,2013,373
Copa do Brasil,2013,373
Serie C,2013,374
Serie D,2013,374
Copa do Brasil,2013,374
Serie C,2013,375
Serie D,2013,375
Copa do Brasil,2013,375
Serie C,2013,376
Serie D,2013,376
Copa do Brasil,2013,376
Serie C,2013,377
Serie D,2013,377
Copa do Brasil,2013,377
Serie C,2013,378
Serie D,2013,378
Copa do Brasil,2013,378
Serie C,2013,379
Serie D,2013,379
Copa do Brasil,2013,379
Serie C,2013,380
Serie D,2013,380
Copa do Brasil,2013,380
Serie A,2013,381
Serie B,2013,381
Serie C,2013,381
Serie D,2013,381
Copa do Brasil,2013,381
Serie A,2013,382
Serie B,2013,382
Serie C,2013,382
Serie D,2013,382
Copa do Brasil,2013,382
Serie A,2013,383
Serie B,2013,383
Serie C,2013,383
Serie D,2013,383
Copa do Brasil,2013,383
Serie A,2013,384
Serie B,2013,384
Serie C,2013,384
Serie D,2013,384
Copa do Brasil,2013,384
Serie A,2013,385
Serie B,2013,385
Serie C,2013,385
Serie D,2013,385
Copa do Brasil,2013,385
Serie A,2013,386
Serie B,2013,386
Serie C,2013,386
Serie D,2013,386
Copa do Brasil,2013,386
Serie A,2013,387
Serie B,2013,387
Serie C,2013,387
Serie D,2013,387
Copa do Brasil,2013,387
Serie A,2013,388
Serie B,2013,388
Serie C,2013,388
Serie D,2013,388
Copa do Brasil,2013,388
Serie A,2013,389
Serie B,2013,389
Serie C,2013,389
Serie D,2013,389
Copa do Brasil,2013,389
Serie A,2013,390
Serie B,2013,390
Serie C,2013,390
Serie D,2013,390
Copa do Brasil,2013,390
Serie A,2013,391
Serie B,2013,391
Serie C,2013,391
Serie D,2013,391
Copa do Brasil,2013,391
Serie A,2013,392
Serie B,2013,392
Serie C,2013,392
Serie D,2013,392
Copa do Brasil,2013,392
Serie A,2013,393
Serie B,2013,393
Serie C,2013,393
Serie D,2013,393
Copa do Brasil,2013,393
Serie A,2013,394
Serie B,2013,394
Serie C,2013,394
Serie D,2013,394
Copa do Brasil,2013,394
Serie A,2013,395
Serie B,2013,395
Serie C,2013,395
Serie D,2013,395
Copa do Brasil,2013,395
Serie A,2013,396
Serie B,2013,396
Serie C,2013,396
Serie D,2013,396
Copa do Brasil,2013,396
Serie A,2013,397
Serie B,2013,397
Serie C,2013,397
Serie D,2013,397
Copa do Brasil,2013,397
Serie A,2013,398
Serie B,2013,398
Serie C,2013,398
Serie D,2013,398
Copa do Brasil,2013,398
Serie A,2013,399
Serie B,2013,399
Serie C,2013,399
Serie D,2013,399
Copa do Brasil,2013,399
Serie A,2013,400
Serie B,2013,400
Serie C,2013,400
Serie D,2013,400
Copa do Brasil,2013,400
Serie A,2013,401
Serie B,2013,401
Serie C,2013,401
Serie D,2013,401
Copa do Brasil,2013,401
Serie A,2013,402
Serie B,2013,402
Serie C,2013,402
Serie D,2013,402
Copa do Brasil,2013,402
Serie A,2013,403
Serie B,2013,403
Serie C,2013,403
Serie D,2013,403
Copa do Brasil,2013,403
Serie A,2013,404
Serie B,2013,404
Serie C,2013,404
Serie D,2013,404
Copa do Brasil,2013,404
Serie A,2013,405
Serie B,2013,405
Serie C,2013,405
Serie D,2013,405
Copa do Brasil,2013,405
Serie A,2013,406
Serie B,2013,406
Serie C,2013,406
Serie D,2013,406
Copa do Brasil,2013,406
Serie A,2013,407
Serie B,2013,407
Serie C,2013,407
Serie D,2013,407
Copa do Brasil,2013,407
Serie A,2013,408
Serie B,2013,408
Serie C,2013,408
Serie D,2013,408
Copa do Brasil,2013,408
Serie A,2013,409
Serie B,2013,409
Serie C,2013,409
Serie D,2013,409
Copa do Brasil,2013,409
Serie A,2013,410
Serie B,2013,410
Serie C,2013,410
Serie D,2013,410
Copa do Brasil,2013,410
Serie A,2013,411
Serie B,2013,411
Serie C,2013,411
Serie D,2013,411
Copa do Brasil,2013,411
Serie A,2013,412
Serie B,2013,412
Serie C,2013,412
Serie D,2013,412
Copa do Brasil,2013,412
Serie A,2013,413
Serie B,2013,413
Serie C,2013,413
Serie D,2013,413
Copa do Brasil,2013,413
Serie A,2013,414
Serie B,2013,414
Serie C,2013,414
Serie D,2013,414
Copa do Brasil,2013,414
Serie A,2013,415
Serie B,2013,415
Serie C,2013,415
Serie D,2013,415
Copa do Brasil,2013,415
Serie A,2013,416
Serie B,2013,416
Serie C,2013,416
Serie D,2013,416
Copa do Brasil,2013,416
Serie A,2013,417
Serie B,2013,417
Serie C,2013,417
Serie D,2013,417
Copa do Brasil,2013,417
Serie A,2013,418
Serie B,2013,418
Serie C,2013,418
Serie D,2013,418
Copa do Brasil,2013,418
Serie A,2013,419
Serie B,2013,419
Serie C,2013,419
Serie D,2013,419
Copa do Brasil,2013,419
Serie A,2013,420
Serie B,2013,420
Serie C,2013,420
Serie D,2013,420
Copa do Brasil,2013,420
Serie A,2013,421
Serie B,2013,421
Serie C,2013,421
Serie D,2013,421
Copa do Brasil,2013,421
Serie A,2013,422
Serie B,2013,422
Serie C,2013,422
Serie D,2013,422
Copa do Brasil,2013,422
Serie A,2013,423
Serie B,2013,423
Serie C,2013,423
Serie D,2013,423
Copa do Brasil,2013,423
Serie A,2013,424
Serie B,2013,424
Serie C,2013,424
Serie D,2013,424
Copa do Brasil,2013,424
Serie A,2013,425
Serie B,2013,425
Serie C,2013,425
Serie D,2013,425
Copa do Brasil,2013,425
Serie A,2013,426
Serie B,2013,426
Serie C,2013,426
Serie D,2013,426
Copa do Brasil,2013,426
Serie A,2013,427
Serie B,2013,427
Serie C,2013,427
Serie D,2013,427
Copa do Brasil,2013,427
Serie A,2013,428
Serie B,2013,428
Serie C,2013,428
Serie D,2013,428
Copa do Brasil,2013,428
Serie A,2013,429
Serie B,2013,429
Serie C,2013,429
Serie D,2013,429
Copa do Brasil,2013,429
Serie A,2013,430
Serie B,2013,430
Serie C,2013,430
Serie D,2013,430
Copa do Brasil,2013,430
Serie A,2013,431
Serie B,2013,431
Serie C,2013,431
Serie D,2013,431
Copa do Brasil,2013,431
Serie A,2013,432
Serie B,2013,432
Serie C,2013,432
Serie D,2013,432
Copa do Brasil,2013,432
Serie A,2013,433
Serie B,2013,433
Serie C,2013,433
Serie D,2013,433
Copa do Brasil,2013,433
Serie A,2013,434
Serie B,2013,434
Serie C,2013,434
Serie D,2013,434
Copa do Brasil,2013,434
Serie A,2013,435
Serie B,2013,435
Serie C,2013,435
Serie D,2013,435
Copa do Brasil,2013,435
Serie A,2013,436
Serie B,2013,436
Serie C,2013,436
Serie D,2013,436
Copa do Brasil,2013,436
Serie A,2013,437
Serie B,2013,437
Serie C,2013,437
Serie D,2013,437
Copa do Brasil,2013,437
Serie A,2013,438
Serie B,2013,438
Serie C,2013,438
Serie D,2013,438
Copa do Brasil,2013,438
Serie A,2013,439
Serie B,2013,439
Serie C,2013,439
Serie D,2013,439
Copa do Brasil,2013,439
Serie A,2013,440
Serie B,2013,440
Serie C,2013,440
Serie D,2013,440
Copa do Brasil,2013,440
Serie A,2013,441
Serie B,2013,441
Serie C,2013,441
Serie D,2013,441
Copa do Brasil,2013,441
Serie A,2013,442
Serie B,2013,442
Serie C,2013,442
Serie D,2013,442
Copa do Brasil,2013,442
Serie A,2013,443
Serie B,2013,443
Serie C,2013,443
Serie D,2013,443
Copa do Brasil,2013,443
Serie A,2013,444
Serie B,2013,444
Serie C,2013,444
Serie D,2013,444
Copa do Brasil,2013,444
Serie A,2013,445
Serie B,2013,445
Serie C,2013,445
Serie D,2013,445
Copa do Brasil,2013,445
Serie A,2013,446
Serie B,2013,446
Serie C,2013,446
Serie D,2013,446
Copa do Brasil,2013,446
Serie A,2013,447
Serie B,2013,447
Serie C,2013,447
Serie D,2013,447
Copa do Brasil,2013,447
Serie A,2013,448
Serie B,2013,448
Serie C,2013,448
Serie D,2013,448
Copa do Brasil,2013,448
Serie A,2013,449
Serie B,2013,449
Serie C,2013,449
Serie D,2013,449
Copa do Brasil,2013,449
Serie A,2013,450
Serie B,2013,450
Serie C,2013,450
Serie D,2013,450
Copa do Brasil,2013,450
Serie A,2013,451
Serie B,2013,451
Serie C,2013,451
Serie D,2013,451
Copa do Brasil,2013,451
Serie A,2013,452
Serie B,2013,452
Serie C,2013,452
Serie D,2013,452
Copa do Brasil,2013,452
Serie A,2013,453
Serie B,2013,453
Serie C,2013,453
Serie D,2013,453
Copa do Brasil,2013,453
Serie A,2013,454
Serie B,2013,454
Serie C,2013,454
Serie D,2013,454
Copa do Brasil,2013,454
Serie A,2013,455
Serie B,2013,455
Serie C,2013,455
Serie D,2013,455
Copa do Brasil,2013,455
Serie A,2013,456
Serie B,2013,456
Serie C,2013,456
Serie D,2013,456
Copa do Brasil,2013,456
Serie A,2013,457
Serie B,2013,457
Serie C,2013,457
Serie D,2013,457
Copa do Brasil,2013,457
Serie A,2013,458
Serie B,2013,458
Serie C,2013,458
Serie D,2013,458
Copa do Brasil,2013,458
Serie A,2013,459
